k,Accuracy,Error
1,0.977777777777778,0.0222222222222222
2,0.955555555555556,0.0444444444444444
3,0.977777777777778,0.0222222222222222
4,0.977777777777778,0.0222222222222222
5,0.977777777777778,0.0222222222222222
6,0.977777777777778,0.0222222222222222
7,0.933333333333333,0.0666666666666667
8,0.933333333333333,0.0666666666666667
9,0.955555555555556,0.0444444444444444
10,0.977777777777778,0.0222222222222222
