k,Accuracy,Error
1,0.974271012006861,0.0257289879931389
2,0.973985134362493,0.0260148656375071
3,0.975128644939966,0.0248713550600343
4,0.974556889651229,0.0254431103487707
5,0.97598627787307,0.0240137221269297
6,0.975128644939966,0.0248713550600343
7,0.974556889651229,0.0254431103487707
8,0.974556889651229,0.0254431103487707
9,0.973413379073756,0.0265866209262436
10,0.971983990851915,0.0280160091480846
